             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          41161638    shared       $1    mehul  R      10:23      1 node-0104
          41161639    shared       $1    mehul  R      10:23      1 node-0104
          41161640    shared       $1    mehul  R      10:23      1 node-0104
          41161641    shared       $1    mehul  R      10:23      1 node-0104
          41161642    shared       $1    mehul  R      10:23      1 node-0105
          41161643    shared       $1    mehul  R      10:23      1 node-0105
          41161644    shared       $1    mehul  R      10:23      1 node-0105
          41161645    shared       $1    mehul  R      10:23      1 node-0105
          41161646    shared       $1    mehul  R      10:23      1 node-0105
          41161647    shared       $1    mehul  R      10:23      1 node-0105
          41161648    shared       $1    mehul  R      10:23      1 node-0105
          41161649    shared       $1    mehul  R      10:23      1 node-0105
          41161650    shared       $1    mehul  R      10:23      1 node-0105
          41161651    shared       $1    mehul  R      10:23      1 node-0105
          41161652    shared       $1    mehul  R      10:23      1 node-0105
          41161653    shared       $1    mehul  R      10:23      1 node-0105
          41161654    shared       $1    mehul  R      10:23      1 node-0105
          41161655    shared       $1    mehul  R      10:23      1 node-0105
          41161656    shared       $1    mehul  R      10:23      1 node-0105
          41161657    shared       $1    mehul  R      10:23      1 node-0105
          41161658    shared       $1    mehul  R      10:23      1 node-0105
          41161659    shared       $1    mehul  R      10:23      1 node-0105
          41161660    shared       $1    mehul  R      10:23      1 node-0105
          41161661    shared       $1    mehul  R      10:23      1 node-0106
          41161662    shared       $1    mehul  R      10:23      1 node-0106
          41161663    shared       $1    mehul  R      10:23      1 node-0106
          41161664    shared       $1    mehul  R      10:23      1 node-0106
          41161665    shared       $1    mehul  R      10:23      1 node-0106
          41161666    shared       $1    mehul  R      10:23      1 node-0106
          41161667    shared       $1    mehul  R      10:23      1 node-0106
          41161668    shared       $1    mehul  R      10:23      1 node-0106
          41161669    shared       $1    mehul  R      10:23      1 node-0106
          41161670    shared       $1    mehul  R      10:23      1 node-0106
          41161671    shared       $1    mehul  R      10:23      1 node-0106
          41161672    shared       $1    mehul  R      10:23      1 node-0106
          41161673    shared       $1    mehul  R      10:23      1 node-0106
          41161674    shared       $1    mehul  R      10:23      1 node-0106
          41161675    shared       $1    mehul  R      10:23      1 node-0106
          41161676    shared       $1    mehul  R      10:23      1 node-0106
          41161677    shared       $1    mehul  R      10:23      1 node-0106
          41161678    shared       $1    mehul  R      10:23      1 node-0106
          41161679    shared       $1    mehul  R      10:23      1 node-0106
          41161680    shared       $1    mehul  R      10:23      1 node-0107
          41161681    shared       $1    mehul  R      10:23      1 node-0107
          41161682    shared       $1    mehul  R      10:23      1 node-0107
          41161683    shared       $1    mehul  R      10:23      1 node-0107
          41161684    shared       $1    mehul  R      10:23      1 node-0107
          41161566    shared       $1    mehul  R      10:26      1 node-0078
          41161567    shared       $1    mehul  R      10:26      1 node-0078
          41161568    shared       $1    mehul  R      10:26      1 node-0078
          41161569    shared       $1    mehul  R      10:26      1 node-0078
          41161570    shared       $1    mehul  R      10:26      1 node-0078
          41161571    shared       $1    mehul  R      10:26      1 node-0078
          41161572    shared       $1    mehul  R      10:26      1 node-0078
          41161573    shared       $1    mehul  R      10:26      1 node-0078
