filename,object,H,a (au),e,i (deg),JD of observation,RA (deg),Dec (deg),image ID,chip ID w/ trail,exposure time (s),time since last exposure (s),filter,g obs,r obs,i obs,"calculated rate of motion @ exp. time: dRA/dt, dDEC/dt [arcsec/min]",,tracking rates,,trail start location,,trail end location,,cross-track FWHM,"notes (e.g. image quality, confusion w/ star, etc.)"
1851152o22.flt,2015 XV1,26.9,2.35,0.62,5.25,2457363.9871720,89.623125,7.465167,1851152,22,60,200,r.MP9602,0,1,0,29.59593333,-21.95183333,,,844,1313,845,1374,,
1851153o22.flt,2015 XV1,26.9,2.35,0.62,5.25,2457363.9885487,89.639208,7.459389,1851153,22,60,119,r.MP9602,0,1,0,29.61351667,-21.96716667,,,839,1193,840,1255,,intersects star
1852596o13.flt,2015 XY261,27.2,1.51,0.47,1.22,2457369.9168546,73.282458,11.93125,1852596,13,60,0,g.MP9402,1,0,0,1.751761667,-7.56475,,,1096,1857,1099,1959,,"very similar looking to stars, very slightly different gradient"
1852597o13.flt,2015 XY261,27.2,1.51,0.47,1.22,2457369.9182197,73.283375,11.916556,1852597,13,60,118,g.MP9402,1,0,0,1.755083333,-7.578533333,,,1099,1655,1096,1757,,
1852598o13.flt,2015 XY261,27.2,1.51,0.47,1.22,2457369.9204831,73.285042,11.89225,1852598,13,60,196,r.MP9602,0,1,0,1.760998333,-7.601416667,,,1099,1321,1097,1422,,
1852599o13.flt,2015 XY261,27.2,1.51,0.47,1.22,2457369.9218638,73.286,11.877556,1852599,13,60,119,r.MP9602,0,1,0,1.764858333,-7.6154,,,1097,1116,1101,1217,,
1852600o13.flt,2015 XY261,27.2,1.51,0.47,1.22,2457369.9241106,73.287625,11.853444,1852600,13,60,194,i.MP9703,0,0,1,1.771548333,-7.638216667,,,1100,783,1100,886,,
1852601o13.flt,2015 XY261,27.2,1.51,0.47,1.22,2457369.9254469,73.288583,11.839194,1852601,13,60,115,i.MP9703,0,0,1,1.775765,-7.6518,,,1099,588,1097,688,,
1853340o13.flt,2015 YA,27.4,1.00,0.28,1.64,2457373.9340735,82.956375,0.065444,1853340,13,60,0,g.MP9402,1,0,0,-12.2644,17.62975,,,1011,2350,1010,2442,,intersects star
1853341o13.flt,2015 YA,27.4,1.00,0.28,1.64,2457373.9354251,82.949833,0.065583,1853341,13,60,117,g.MP9402,1,0,0,-12.24938333,17.61051667,,,1011,2165,1014,2258,,intersects star
1853342o13.flt,2015 YA,27.4,1.00,0.28,1.64,2457373.9376731,82.938833,0.065806,1853342,13,60,194,r.MP9602,0,1,0,-12.22395,17.57858333,,,1012,1867,1012,1957,,
1853343o13.flt,2015 YA,27.4,1.00,0.28,1.64,2457373.9390187,82.93225,0.065944,1853343,13,60,116,r.MP9602,0,1,0,-12.20845,17.55948333,,,1013,1684,1012,1775,,
1853344o13.flt,2015 YA,27.4,1.00,0.28,1.64,2457373.9412978,82.921125,0.066167,1853344,13,60,197,i.MP9703,0,0,1,-12.18173333,17.52716667,,,1015,1385,1012,1467,,"fuzzy, intersects star"
1853345o13.flt,2015 YA,27.4,1.00,0.28,1.64,2457373.9426546,82.914542,0.066306,1853345,13,60,117,i.MP9703,0,0,1,-12.16555,17.50795,,,1015,1200,1013,1285,,barely visible
1860779o03.flt,2016 AN9,26.8,1.94,0.50,8.04,2457393.8548026,90.976083,62.326806,1860779,03,60,0,g.MP9402,1,0,0,15.33644,31.68838333,,,,,,,,couldnt spot it
1860780o03.flt,2016 AN9,26.8,1.94,0.50,8.04,2457393.8564211,90.985917,62.339278,1860780,03,60,140,g.MP9402,1,0,0,15.34490667,31.67175,,,,,,,,
1890617o23.flt,2016 BA15,26.8,1.54,0.55,1.51,2457418.9045965,125.596125,57.193417,1890617,23,60,0,g.MP9402,1,0,0,-10.46805,77.01031667,,,,,,,,"stars vertical, not visible in this frame"
1890618o23.flt,2016 BA15,26.8,1.54,0.55,1.51,2457418.9058641,125.596625,57.255028,1890618,23,60,110,g.MP9402,1,0,0,-10.49785,77.1074,,,101,2061,41,2295,,
1890619o23.flt,2016 BA15,26.8,1.54,0.55,1.51,2457418.9079863,125.597458,57.357528,1890619,23,60,183,r.MP9602,0,1,0,-10.54753333,77.27016667,,,286,1351,225,1583,,
1890620o23.flt,2016 BA15,26.8,1.54,0.55,1.51,2457418.9092571,125.597958,57.419139,1890620,23,60,110,r.MP9602,0,1,0,-10.57715,77.36778333,,,383,929,333,1159,,
1890621o23.flt,2016 BA15,26.8,1.54,0.55,1.51,2457418.9114248,125.598833,57.523889,1890621,23,60,187,i.MP9703,0,0,1,-10.62743333,77.53451667,,,582,209,523,435,,
1890622o23.flt,2016 BA15,26.8,1.54,0.55,1.51,2457418.9126928,125.599292,57.585528,1890622,23,60,110,i.MP9703,0,0,1,-10.6567,77.6322,,,,,,,,not visible in this frame
1893270o22.flt,2016 CD137,26.1,1.08,0.23,4.63,2457429.9505878,148.476708,21.703556,1893270,22,60,0,g.MP9402,1,0,0,0.09470305,7.45489,,,,,,,,couldnt convincingly find anything
1893271o22.flt,2016 CD137,26.1,1.08,0.23,4.63,2457429.9518558,148.476792,21.712694,1893271,22,60,110,g.MP9402,1,0,0,0.0946186,7.454013333,,,,,,,,
1893272o22.flt,2016 CD137,26.1,1.08,0.23,4.63,2457429.9540087,148.476833,21.728167,1893272,22,60,186,r.MP9602,0,1,0,0.09461541667,7.452521667,,,,,,,,
1893273o22.flt,2016 CD137,26.1,1.08,0.23,4.63,2457429.9552791,148.476917,21.737333,1893273,22,60,110,r.MP9602,0,1,0,0.09469636667,7.451638333,,,,,,,,
1893274o22.flt,2016 CD137,26.1,1.08,0.23,4.63,2457429.9574626,148.477,21.753,1893274,22,60,189,i.MP9703,0,0,1,0.09497926667,7.450116667,,,,,,,,
1893275o22.flt,2016 CD137,26.1,1.08,0.23,4.63,2457429.9587303,148.477042,21.762083,1893275,22,60,110,i.MP9703,0,0,1,0.09522693333,7.449231667,,,,,,,,
1893252o22.flt,2016 CD31,26.9,1.04,0.45,0.47,2457429.8775964,116.966958,-21.112889,1893252,22,60,0,g.MP9402,1,0,0,-65.7935,-44.863,,,1201,4050,1188,4137,,intersects stars
1893253o22.flt,2016 CD31,26.9,1.04,0.45,0.47,2457429.8788645,116.932417,-21.1275,1893253,22,60,110,g.MP9402,1,0,0,-65.8795,-44.89216667,,,1217,3893,1209,3977,,intersects stars
1893254o22.flt,2016 CD31,26.9,1.04,0.45,0.47,2457429.8809610,116.875042,-21.151722,1893254,22,60,181,r.MP9602,0,1,0,-66.0215,-44.94033333,,,1258,3636,1246,3720,,intersects stars
1893255o22.flt,2016 CD31,26.9,1.04,0.45,0.47,2457429.8822289,116.840208,-21.166472,1893255,22,60,110,r.MP9602,0,1,0,-66.10716667,-44.96933333,,,1284,3486,1269,3565,,intersects stars
1893256o22.flt,2016 CD31,26.9,1.04,0.45,0.47,2457429.8844027,116.780583,-21.191639,1893256,22,60,188,i.MP9703,0,0,1,-66.25366667,-45.01883333,,,1328,3215,1310,3298,,intersects stars
1893257o22.flt,2016 CD31,26.9,1.04,0.45,0.47,2457429.8856702,116.746083,-21.20625,1893257,22,60,110,i.MP9703,0,0,1,-66.339,-45.04766667,,,1349,3066,1339,3142,,intersects stars
1893849o04.flt,2016 CE194,26.1,1.95,0.52,1.85,2457431.9547238,140.923375,19.053944,1893849,04,60,0,g.MP9402,1,0,0,9.401168333,-2.1578,,,1112,2069,1115,2116,,
1893850o04.flt,2016 CE194,26.1,1.95,0.52,1.85,2457431.9559922,140.928542,19.048472,1893850,04,60,110,g.MP9402,1,0,0,9.399818333,-2.15975,,,1108,1984,1111,2027,,
1893851o04.flt,2016 CE194,26.1,1.95,0.52,1.85,2457431.9581036,140.937167,19.039417,1893851,04,60,182,r.MP9602,0,1,0,9.397686667,-2.162966667,,,1105,1844,1106,1889,,
1893852o04.flt,2016 CE194,26.1,1.95,0.52,1.85,2457431.9593711,140.942292,19.034,1893852,04,60,110,r.MP9602,0,1,0,9.396476667,-2.1649,,,1107,1758,1106,1796,,
1893853o04.flt,2016 CE194,26.1,1.95,0.52,1.85,2457431.9615266,140.951125,19.024722,1893853,04,60,186,i.MP9703,0,0,1,9.39454,-2.168166667,,,,,,,,couldnt find it
