# id ra dec s L A b x y a flux
1.000000000000000000e+01 1.720545622603658842e+02 -5.925359581699994216e+00 5.122258624391862192e+00 1.106314191085564573e+02 8.999078967867022527e+01 1.436764811625549498e+02 2.963978892272160465e+03 2.128048972556666286e+03 3.550000000000000000e+01 1.257392500000000000e+06
1.100000000000000000e+01 1.720181340658201918e+02 -6.011793568918458952e+00 6.825834799780694517e+00 1.137849328472023984e+02 9.045523261761189815e+01 1.423029996874610958e+02 3.362790364755442170e+03 3.888392597576360004e+03 3.550000000000000000e+01 2.577150250000000000e+06
1.200000000000000000e+01 1.720385657785467401e+02 -5.908366308365543773e+00 9.363747828073620383e+00 1.220088498378949424e+02 8.938849092727464551e+01 1.427532674537323771e+02 2.524961980201252118e+03 2.039740713544544860e+03 3.550000000000000000e+01 2.821158000000000000e+06
1.300000000000000000e+01 1.719849221588767136e+02 -6.009550383265523266e+00 5.128369119107346386e+00 1.107857528860523644e+02 8.998976968914044505e+01 1.418348364483892965e+02 2.820006296599322013e+03 4.222936079751986654e+03 3.550000000000000000e+01 1.225484125000000000e+06
1.400000000000000000e+01 1.719807218766405583e+02 -6.009690722409364305e+00 5.115617840054447640e+00 1.123411640209119895e+02 9.027355014977415237e+01 1.423454613304933503e+02 2.755956921322807375e+03 4.271223728473156370e+03 3.550000000000000000e+01 1.397759750000000000e+06
1.500000000000000000e+01 1.720128721299066683e+02 -6.027271928643041399e+00 5.083817000054797752e+00 1.094962158686563498e+02 8.992786110895792717e+01 1.426325583711388560e+02 3.453867300797724056e+03 4.189157245860677904e+03 3.550000000000000000e+01 1.641868750000000000e+06
1.600000000000000000e+01 1.720077223607663939e+02 -6.027520907694252195e+00 3.247094420161100281e+00 1.094964568513558163e+02 9.149075742872818751e+01 1.395489156992539108e+02 3.375966230743209962e+03 4.250478194446412999e+03 3.550000000000000000e+01 6.191314000000000000e+07
1.700000000000000000e+01 1.719655474015659138e+02 -5.903280741896029582e+00 5.129746259699998312e+00 1.108556476044252577e+02 9.000738146440632192e+01 1.439258835605137108e+02 1.330002984794213944e+03 2.772040169090749714e+03 3.550000000000000000e+01 1.203156875000000000e+06
1.800000000000000000e+01 1.719926277122476108e+02 -5.868614205065940226e+00 4.592674944302305384e+00 1.106751313208051641e+02 9.055058493077713422e+01 1.423651322883205523e+02 1.364520112624767307e+03 1.927535723630267739e+03 3.550000000000000000e+01 1.532359250000000000e+06
1.900000000000000000e+01 1.720081244111540570e+02 -5.851807040792135872e+00 7.237904950541144800e+00 1.150175692740116915e+02 9.032048886303080337e+01 1.429017786557596708e+02 1.417958714503689635e+03 1.491833567043984885e+03 3.550000000000000000e+01 2.190729500000000000e+06
2.000000000000000000e+01 1.719872886612442926e+02 -5.845229580853772866e+00 4.938302990614271692e+00 1.118851587508640790e+02 9.114849933034408025e+01 1.425798307519087871e+02 1.019456754148649907e+03 1.620181245312931196e+03 3.550000000000000000e+01 2.755681000000000000e+06
2.100000000000000000e+01 1.720237893173650718e+02 -5.837777569825601809e+00 5.774270269190265203e+00 1.153314386441128931e+02 8.961455976469918028e+01 1.443844426251333175e+02 1.505172453236394176e+03 1.097199919921943774e+03 3.550000000000000000e+01 1.835668250000000000e+06
2.200000000000000000e+01 1.720192872896130325e+02 -5.831125142715349874e+00 3.081185214033757447e+00 1.093118612670857601e+02 9.203091728098911517e+01 1.412308907326026315e+02 1.360801519947676297e+03 1.042448175011061267e+03 3.550000000000000000e+01 1.797512400000000000e+07
